date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:34:08	203285/203285	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20May%202023%2002:50:20%20GMT	https://themihub.com/html/morex-demo/morex/index-dark.html	C:/Users/Acer/Desktop/GRPortfolio/themihub.com/html/morex-demo/morex/index-dark.html	(from )
19:34:11	109/109	---M-Z	200	added ('OK')	text/plain	date:Mon,%2009%20Dec%202024%2013:49:14%20GMT	https://themihub.com/robots.txt		(from )
19:34:11	4154/4154	---M-Z	200	added ('OK')	image/x-icon	date:Mon,%2020%20Feb%202023%2002:30:40%20GMT	https://themihub.com/html/morex-demo/morex/assets/images/favicon.ico	C:/Users/Acer/Desktop/GRPortfolio/themihub.com/html/morex-demo/morex/assets/images/favicon.ico	(from https://themihub.com/html/morex-demo/morex/index-dark.html)
19:34:12	4240/4240	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Feb%202023%2002:30:40%20GMT	https://themihub.com/html/morex-demo/morex/assets/css/mobilemenu.css	C:/Users/Acer/Desktop/GRPortfolio/themihub.com/html/morex-demo/morex/assets/css/mobilemenu.css	(from https://themihub.com/html/morex-demo/morex/index-dark.html)
19:34:13	16493/16493	---M-Z	200	added ('OK')	text/css	etag:W/%22406d-rwCOh5O6dcNGNg6U6W482jFM4n8%22	https://cdn.jsdelivr.net/npm/swiper@8/swiper-bundle.min.css	C:/Users/Acer/Desktop/GRPortfolio/cdn.jsdelivr.net/npm/swiper@8/swiper-bundle.min.css	(from https://themihub.com/html/morex-demo/morex/index-dark.html)
19:34:13	90288/90288	---M-Z	200	added ('OK')	text/css	date:Sat,%2025%20Feb%202023%2019:14:32%20GMT	https://themihub.com/html/morex-demo/morex/assets/css/styles.css	C:/Users/Acer/Desktop/GRPortfolio/themihub.com/html/morex-demo/morex/assets/css/styles.css	(from https://themihub.com/html/morex-demo/morex/index-dark.html)
19:34:15	202686/202686	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20May%202023%2002:50:20%20GMT	https://themihub.com/html/morex-demo/morex/index.html	C:/Users/Acer/Desktop/GRPortfolio/themihub.com/html/morex-demo/morex/index.html	(from https://themihub.com/html/morex-demo/morex/index-dark.html)
19:34:15	3300/3300	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2002:30:40%20GMT	https://themihub.com/html/morex-demo/morex/assets/images/logo-light.png	C:/Users/Acer/Desktop/GRPortfolio/themihub.com/html/morex-demo/morex/assets/images/logo-light.png	(from https://themihub.com/html/morex-demo/morex/index-dark.html)
19:34:16	3325/3325	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2002:30:40%20GMT	https://themihub.com/html/morex-demo/morex/assets/images/logo.png	C:/Users/Acer/Desktop/GRPortfolio/themihub.com/html/morex-demo/morex/assets/images/logo.png	(from https://themihub.com/html/morex-demo/morex/index-dark.html)
19:34:18	7476/7476	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2002:30:40%20GMT	https://themihub.com/html/morex-demo/morex/assets/images/photoshop-logo.png	C:/Users/Acer/Desktop/GRPortfolio/themihub.com/html/morex-demo/morex/assets/images/photoshop-logo.png	(from https://themihub.com/html/morex-demo/morex/index-dark.html)
19:34:19	363558/363558	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2002:30:40%20GMT	https://themihub.com/html/morex-demo/morex/assets/images/hero-man-dark.png	C:/Users/Acer/Desktop/GRPortfolio/themihub.com/html/morex-demo/morex/assets/images/hero-man-dark.png	(from https://themihub.com/html/morex-demo/morex/index-dark.html)
19:34:20	2875/2875	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2002:30:40%20GMT	https://themihub.com/html/morex-demo/morex/assets/images/figma.png	C:/Users/Acer/Desktop/GRPortfolio/themihub.com/html/morex-demo/morex/assets/images/figma.png	(from https://themihub.com/html/morex-demo/morex/index-dark.html)
19:34:20	4766/4766	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2002:30:40%20GMT	https://themihub.com/html/morex-demo/morex/assets/images/logo/1.png	C:/Users/Acer/Desktop/GRPortfolio/themihub.com/html/morex-demo/morex/assets/images/logo/1.png	(from https://themihub.com/html/morex-demo/morex/index-dark.html)
